Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
333,Pashupati Nath Singh,DHANBAD,BJP,0,Graduate,"Rs 2,72,86,918 ~ 2 Crore+",Rs 0 ~
334,Patel Hasmukhbhai Somabhai,AHMEDABAD EAST,BJP,0,Others,"Rs 7,46,99,690 ~ 7 Crore+","Rs 62,52,577 ~ 62 Lacs+"
335,Patel Lalubhai Babubhai,DAMAN AND DIU,BJP,0,8th Pass,"Rs 21,39,93,750 ~ 21 Crore+","Rs 99,69,514 ~ 99 Lacs+"
336,Patil Chandrakant,NAVSARI,BJP,1,10th Pass,"Rs 44,60,44,269 ~ 44 Crore+","Rs 5,68,46,658 ~ 5 Crore+"
337,Patil Hemant Shriram,HINGOLI,SHS,0,Graduate,"Rs 1,85,94,458 ~ 1 Crore+","Rs 12,99,983 ~ 12 Lacs+"
338,Pinaki Misra,PURI,BJD,0,Graduate Professional,"Rs 1,17,47,01,344 ~ 117 Crore+","Rs 2,19,32,742 ~ 2 Crore+"
339,Pocha Brahmananda Reddy,NANDYAL,YSRCP,1,Post Graduate,"Rs 58,59,32,911 ~ 58 Crore+","Rs 17,70,35,582 ~ 17 Crore+"
340,Poonam Vajendla Rao,MUMBAI NORTH CENTRAL,BJP,2,Others,"Rs 2,22,42,513 ~ 2 Crore+",Rs 0 ~
341,Poonamben Hematbhai Maadam,JAMNAGAR,BJP,0,Graduate,"Rs 42,73,31,034 ~ 42 Crore+","Rs 9,86,32,194 ~ 9 Crore+"
342,Pothuganti Ramulu,NAGARKURNOOL,TRS,0,Graduate,"Rs 1,07,78,684 ~ 1 Crore+",Rs 0 ~
343,Pradan Baruah,LAKHIMPUR,BJP,0,12th Pass,"Rs 1,43,07,978 ~ 1 Crore+","Rs 58,39,285 ~ 58 Lacs+"
344,Pradeep Kumar,KAIRANA,BJP,5,Post Graduate,"Rs 1,72,92,937 ~ 1 Crore+","Rs 13,00,000 ~ 13 Lacs+"
